OR5x100-0.25_1.dat

capacity = [11927, 13727, 11551, 13056, 13460]

items = [[504, 42, 509, 806, 404, 475],
 [803, 41, 883, 361, 197, 36],
 [667, 523, 229, 199, 817, 287],
 [1103, 215, 569, 781, 1000, 577],
 [834, 819, 706, 596, 44, 45],
 [585, 551, 639, 669, 307, 700],
 [811, 69, 114, 957, 39, 803],
 [856, 193, 727, 358, 659, 654],
 [690, 582, 491, 259, 46, 196],
 [832, 375, 481, 888, 334, 844],
 [846, 367, 681, 319, 448, 657],
 [813, 478, 948, 751, 599, 387],
 [868, 162, 687, 275, 931, 518],
 [793, 898, 941, 177, 776, 143],
 [825, 550, 350, 883, 263, 515],
 [1002, 553, 253, 749, 980, 335],
 [860, 298, 573, 229, 807, 942],
 [615, 577, 40, 265, 378, 701],
 [540, 493, 124, 282, 278, 332],
 [797, 183, 384, 694, 841, 803],
 [616, 260, 660, 819, 700, 265],
 [660, 224, 951, 77, 210, 922],
 [707, 852, 739, 190, 542, 908],
 [866, 394, 329, 551, 636, 139],
 [647, 958, 146, 140, 388, 995],
 [746, 282, 593, 442, 129, 845],
 [1006, 402, 658, 867, 203, 487],
 [608, 604, 816, 283, 110, 100],
 [877, 164, 638, 137, 817, 447],
 [900, 308, 717, 359, 502, 653],
 [573, 218, 779, 445, 657, 649],
 [788, 61, 289, 58, 804, 738],
 [484, 273, 430, 440, 662, 424],
 [853, 772, 851, 192, 989, 475],
 [942, 191, 937, 485, 585, 425],
 [630, 117, 289, 744, 645, 926],
 [591, 276, 159, 844, 113, 795],
 [630, 877, 260, 969, 436, 47],
 [640, 415, 930, 50, 610, 136],
 [1169, 873, 248, 833, 948, 801],
 [932, 902, 656, 57, 919, 904],
 [1034, 465, 833, 877, 115, 740],
 [957, 320, 892, 482, 967, 768],
 [798, 870, 60, 732, 13, 460],
 [669, 244, 278, 968, 445, 76],
 [625, 781, 741, 113, 449, 660],
 [467, 86, 297, 486, 740, 500],
 [1051, 622, 967, 710, 592, 915],
 [552, 665, 86, 439, 327, 897],
 [717, 155, 249, 747, 167, 25],
 [654, 680, 354, 174, 368, 716],
 [388, 101, 614, 260, 335, 557],
 [559, 665, 836, 877, 179, 72],
 [555, 227, 290, 474, 909, 696],
 [1104, 597, 893, 841, 825, 653],
 [783, 354, 857, 422, 614, 933],
 [959, 597, 158, 280, 987, 420],
 [668, 79, 869, 684, 350, 582],
 [507, 162, 206, 330, 179, 810],
 [855, 998, 504, 910, 415, 861],
 [986, 849, 799, 791, 821, 758],
 [831, 136, 758, 322, 525, 647],
 [821, 112, 431, 404, 774, 237],
 [825, 751, 580, 403, 283, 631],
 [868, 735, 780, 519, 427, 271],
 [852, 884, 788, 148, 275, 91],
 [832, 71, 583, 948, 659, 75],
 [828, 449, 641, 414, 392, 756],
 [799, 266, 32, 894, 73, 409],
 [686, 420, 653, 147, 896, 440],
 [510, 797, 252, 73, 68, 483],
 [671, 945, 709, 297, 982, 336],
 [575, 746, 129, 97, 697, 765],
 [740, 46, 368, 651, 421, 637],
 [510, 44, 440, 380, 246, 981],
 [675, 545, 314, 67, 672, 980],
 [996, 882, 287, 582, 649, 202],
 [636, 72, 854, 973, 731, 35],
 [826, 383, 460, 143, 191, 594],
 [1022, 714, 594, 732, 514, 689],
 [1140, 987, 512, 624, 983, 602],
 [654, 183, 239, 518, 886, 76],
 [909, 731, 719, 847, 95, 767],
 [799, 301, 751, 113, 846, 693],
 [1162, 718, 708, 382, 689, 893],
 [653, 91, 670, 97, 206, 160],
 [814, 109, 269, 905, 417, 785],
 [625, 567, 832, 398, 14, 311],
 [599, 708, 137, 859, 735, 417],
 [476, 507, 356, 4, 267, 748],
 [767, 983, 960, 142, 822, 375],
 [954, 808, 651, 110, 977, 362],
 [906, 766, 398, 11, 302, 617],
 [904, 615, 893, 213, 687, 553],
 [649, 554, 407, 398, 118, 474],
 [873, 282, 477, 173, 990, 915],
 [565, 995, 552, 106, 323, 457],
 [853, 946, 805, 331, 993, 261],
 [1008, 651, 881, 254, 525, 350],
 [632, 298, 850, 447, 322, 635]]
 
 
 OR5x250-0.25_1.dat
 
 capacity = [29562, 30027, 32082, 31340, 29959]
 
 items = [[866, 838, 866, 196, 322, 508],
 [319, 379, 142, 343, 38, 630],
 [563, 403, 754, 151, 759, 214],
 [1003, 772, 564, 308, 864, 472],
 [601, 84, 805, 19, 80, 612],
 [638, 758, 179, 643, 335, 436],
 [870, 290, 666, 251, 606, 69],
 [1033, 242, 926, 834, 849, 671],
 [782, 445, 219, 318, 391, 978],
 [708, 878, 637, 809, 496, 281],
 [612, 86, 671, 566, 90, 337],
 [631, 788, 730, 60, 681, 848],
 [837, 133, 113, 642, 920, 203],
 [671, 13, 813, 629, 931, 415],
 [552, 980, 97, 232, 478, 731],
 [753, 768, 442, 177, 746, 327],
 [1097, 882, 878, 549, 963, 661],
 [885, 999, 281, 930, 521, 195],
 [387, 430, 749, 92, 53, 393],
 [757, 981, 320, 573, 928, 104],
 [827, 17, 632, 873, 960, 522],
 [667, 731, 325, 90, 834, 511],
 [525, 866, 323, 586, 7, 749],
 [508, 813, 80, 297, 30, 699],
 [910, 691, 634, 930, 514, 653],
 [940, 125, 17, 967, 192, 959],
 [939, 445, 844, 305, 61, 693],
 [626, 433, 761, 254, 726, 742],
 [1035, 394, 184, 919, 730, 565],
 [757, 989, 655, 540, 510, 934],
 [718, 677, 276, 225, 427, 669],
 [883, 96, 591, 98, 858, 807],
 [1155, 974, 832, 259, 517, 949],
 [774, 686, 97, 379, 691, 486],
 [509, 488, 843, 138, 191, 830],
 [846, 183, 298, 958, 821, 590],
 [809, 381, 128, 568, 724, 527],
 [561, 286, 108, 405, 894, 665],
 [636, 456, 971, 902, 14, 557],
 [832, 615, 676, 997, 256, 76],
 [840, 478, 830, 424, 15, 428],
 [720, 71, 631, 883, 857, 290],
 [638, 83, 921, 655, 89, 188],
 [512, 290, 341, 805, 470, 542],
 [638, 308, 268, 980, 409, 165],
 [651, 410, 938, 887, 734, 66],
 [720, 612, 51, 904, 426, 873],
 [662, 811, 671, 339, 647, 256],
 [745, 891, 601, 425, 778, 358],
 [632, 463, 46, 729, 626, 228],
 [968, 803, 446, 580, 57, 640],
 [738, 48, 656, 608, 989, 514],
 [918, 932, 222, 765, 231, 135],
 [541, 220, 512, 34, 979, 496],
 [864, 93, 925, 186, 948, 16],
 [195, 33, 371, 62, 120, 170],
 [553, 193, 220, 436, 449, 722],
 [757, 324, 820, 731, 763, 120],
 [626, 452, 809, 811, 370, 329],
 [719, 6, 822, 824, 66, 223],
 [768, 159, 200, 979, 359, 12],
 [536, 858, 171, 491, 242, 188],
 [995, 636, 579, 561, 335, 393],
 [856, 602, 993, 988, 537, 73],
 [906, 670, 516, 713, 669, 692],
 [696, 265, 213, 115, 956, 901],
 [850, 667, 298, 287, 341, 641],
 [584, 217, 531, 930, 192, 721],
